places/id	places/internationalPhoneNumber	places/location/latitude	places/location/longitude	places/rating	places/regularOpeningHours/weekdayDescriptions/0	places/regularOpeningHours/weekdayDescriptions/1	places/regularOpeningHours/weekdayDescriptions/2	places/regularOpeningHours/weekdayDescriptions/3	places/regularOpeningHours/weekdayDescriptions/4	places/regularOpeningHours/weekdayDescriptions/5	places/regularOpeningHours/weekdayDescriptions/6	places/userRatingCount	places/displayName/text	places/displayName/languageCode	places/primaryType	places/priceLevel
ChIJCxBEZ7gVVBMRrLMqYlA1I1w	+389 71 343 063	41.9963473	21.4243335	4.7	Monday: 9:00 AM – 11:30 PM	Tuesday: 9:00 AM – 11:30 PM	Wednesday: 9:00 AM – 11:30 PM	Thursday: 9:00 AM – 11:30 PM	Friday: 9:00 AM – 11:30 PM	Saturday: 9:00 AM – 11:30 PM	Sunday: 9:00 AM – 11:30 PM	3580	Matto Napoletano	en	italian_restaurant	
ChIJ7xg0Uk4UVBMR8O049WBqftk	+389 78 343 630	42.0010096	21.4199187	4.6	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 12:00 PM – 12:00 AM	5283	Restaurant Skopski Merak	en	restaurant	PRICE_LEVEL_MODERATE
ChIJ9bheqbUVVBMR_e0Sr1BQ-sQ	+389 2 329 0674	41.99382	21.4308717	4.4	Monday: 9:00 AM – 8:00 PM	Tuesday: 9:00 AM – 8:00 PM	Wednesday: 9:00 AM – 8:00 PM	Thursday: 9:00 AM – 8:00 PM	Friday: 9:00 AM – 8:00 PM	Saturday: 9:00 AM – 2:00 PM	Sunday: 9:00 AM – 2:00 PM	3683	Mother Teresa Memorial House	en		
ChIJLUMN5y4VVBMRTeHoh00CkG4	+389 2 321 1908	42.0025695	21.4384212	4.3	Monday: 7:00 AM – 8:00 PM	Tuesday: 7:00 AM – 8:00 PM	Wednesday: 7:00 AM – 8:00 PM	Thursday: 7:00 AM – 8:00 PM	Friday: 7:00 AM – 8:00 PM	Saturday: 7:00 AM – 8:00 PM	Sunday: 7:00 AM – 8:00 PM	2645	Kosmos Kebabchilnica	en	restaurant	PRICE_LEVEL_MODERATE
ChIJP3DhPk8UVBMRd4NwvLIpV40	+389 71 206 205	42.0000927	21.4174075	4.5	Monday: Open 24 hours	Tuesday: Open 24 hours	Wednesday: Open 24 hours	Thursday: Open 24 hours	Friday: Open 24 hours	Saturday: Open 24 hours	Sunday: Closed	4294	Silbo	en	bakery	PRICE_LEVEL_MODERATE
ChIJ5Uz10bEVVBMRXxqPTkLqqzY	+389 2 322 4063	41.9997012	21.436087	3.7	Monday: 9:00 AM – 9:00 PM	Tuesday: 9:00 AM – 9:00 PM	Wednesday: 9:00 AM – 9:00 PM	Thursday: 9:00 AM – 9:00 PM	Friday: 9:00 AM – 10:00 PM	Saturday: 9:00 AM – 10:00 PM	Sunday: 9:00 AM – 10:00 PM	3918	Destan	en	barbecue_restaurant	PRICE_LEVEL_MODERATE
ChIJUTe8jbAVVBMRH1THzyxKl6k	+389 2 313 1376	41.9969072	21.4383018	4.6	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 12:00 AM	Saturday: 4:00 PM – 12:00 AM	Sunday: 2:00 – 10:00 PM	3125	Restaurant „Old House“	en	restaurant	PRICE_LEVEL_MODERATE
ChIJ_doh2BgVVBMRIl-F8IIUpDo		42.0005479	21.4369738	4.3	Monday: 6:00 AM – 5:00 PM	Tuesday: 6:00 AM – 5:00 PM	Wednesday: 6:00 AM – 5:00 PM	Thursday: 6:00 AM – 5:00 PM	Friday: 6:00 AM – 5:00 PM	Saturday: 6:00 AM – 5:00 PM	Sunday: Closed	917	Eski Burek Shop	en	bakery	
ChIJAVSW1xgVVBMRbSIIPv3IYrA	+389 70 272 766	42.003532	21.4168175	4.4	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 12:00 PM – 1:00 AM	Sunday: Closed	1863	Debar Maalo	en	restaurant	PRICE_LEVEL_MODERATE
ChIJx8N9fDgUVBMR_87p00Z3GSk	+389 72 306 198	41.9949773	21.4129362	4.6	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	2972	Gostilnica Dukat	en	restaurant	PRICE_LEVEL_MODERATE
