places/id	places/internationalPhoneNumber	places/location/latitude	places/location/longitude	places/rating	places/regularOpeningHours/weekdayDescriptions/0	places/regularOpeningHours/weekdayDescriptions/1	places/regularOpeningHours/weekdayDescriptions/2	places/regularOpeningHours/weekdayDescriptions/3	places/regularOpeningHours/weekdayDescriptions/4	places/regularOpeningHours/weekdayDescriptions/5	places/regularOpeningHours/weekdayDescriptions/6	places/userRatingCount	places/displayName/text	places/displayName/languageCode	places/primaryType	places/priceLevel
ChIJj4YnzyUVVBMRUID0xnDfSR8	+389 71 721 545	42.0004932	21.4212006	4.6	Monday: 9:00 AM – 11:50 PM	Tuesday: 9:00 AM – 11:50 PM	Wednesday: 9:00 AM – 11:50 PM	Thursday: 9:00 AM – 11:50 PM	Friday: 9:00 AM – 12:50 AM	Saturday: 9:00 AM – 12:50 AM	Sunday: 5:00 – 11:50 PM	844	Gluvo Kuče	en	bar	PRICE_LEVEL_MODERATE
ChIJUwfl7UUUVBMRB6uxMKxvAHM	+389 72 699 999	42.0005863	21.4147166	3.9	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 10:00 AM – 12:00 AM	Sunday: Closed	919	Fitness House	en	restaurant	PRICE_LEVEL_MODERATE
ChIJqZOgDk8UVBMRf6p6NEfKxYk	+389 2 321 3515	42.0010556	21.4176278	4.5	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:30 AM – 12:00 AM	934	Bar Kino Karpoš	en	bar	PRICE_LEVEL_MODERATE
ChIJpfvN-e4VVBMRNJ4DPkRB6hI	+389 70 390 038	42.0019698	21.4134773	4.7	Monday: 12:00 – 10:00 PM	Tuesday: 12:00 – 10:00 PM	Wednesday: 12:00 – 10:00 PM	Thursday: 12:00 – 10:00 PM	Friday: 12:00 – 10:00 PM	Saturday: 12:00 – 10:00 PM	Sunday: 12:00 – 10:00 PM	57	Igroteka WOW Land	en	cafe	
ChIJjXpdykgUVBMRt-WD79a7a1k	+389 71 696 063	41.9990661	21.4172274	4.7	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	1044	Cafe Bar Che	en	coffee_shop	PRICE_LEVEL_INEXPENSIVE
ChIJj7A9KkkUVBMRxTg0n7wkd1c	+389 2 615 2666	41.9986507	21.4187324	4.5	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	782	Bar Cherry	en	cafe	PRICE_LEVEL_MODERATE
ChIJJcmzQE8UVBMRszoPVyuTRhM	+389 70 306 077	42.0001558	21.4168236	4	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	1048	Café Broz	en	cafe	PRICE_LEVEL_MODERATE
ChIJR8oQ4-gVVBMRPvHxqGj7aTc		41.994726	21.4173252	4	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	188	Mezzo Street Café	en	cafe	PRICE_LEVEL_MODERATE
ChIJp9ZMXdwVVBMRY_v2upWQIls	+389 70 315 495	41.9955653	21.4112987	4.6	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 12:00 AM	Sunday: 8:00 AM – 12:00 AM	688	Beer Bar Woodstock	en	bar	PRICE_LEVEL_MODERATE
ChIJszTtokkUVBMR_6IyEVn78sI	+389 78 221 787	41.995758	21.420043	4.5	Monday: 8:00 AM – 8:00 PM	Tuesday: 8:00 AM – 8:00 PM	Wednesday: 8:00 AM – 8:00 PM	Thursday: 8:00 AM – 8:00 PM	Friday: 8:00 AM – 8:00 PM	Saturday: 8:00 AM – 4:00 PM	Sunday: Closed	208	Perfeto	en	cake_shop	PRICE_LEVEL_MODERATE
ChIJt-B7aAAVVBMRz0XE5gX_fjw	+389 70 353 043	41.9976003	21.417019	4.3	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 12:00 AM	Saturday: 10:00 AM – 12:00 AM	Sunday: 10:00 AM – 6:00 PM	78	Salud	ru	restaurant	
ChIJ4ctlH30VVBMRRCqcxyfN-C8	+389 70 232 717	41.9995879	21.4171939	3.1	Monday: 10:00 AM – 3:00 AM	Tuesday: 10:00 AM – 3:00 AM	Wednesday: 10:00 AM – 3:00 AM	Thursday: 10:00 AM – 3:00 AM	Friday: 10:00 AM – 3:00 AM	Saturday: 11:00 AM – 4:00 AM	Sunday: 10:00 AM – 3:00 AM	233	Doner Plaset (Univerzalna)	en	hamburger_restaurant	
ChIJM9S7_z8UVBMRXZqCiPTdNb8	+389 76 210 547	41.9993944	21.4130634	4.6	Monday: 7:30 AM – 8:00 PM	Tuesday: 7:30 AM – 8:00 PM	Wednesday: 7:30 AM – 8:00 PM	Thursday: 7:30 AM – 8:00 PM	Friday: 7:30 AM – 8:00 PM	Saturday: 8:30 AM – 3:00 PM	Sunday: Closed	289	Vega	en	vegetarian_restaurant	
ChIJPWCFDCIVVBMRRzQE2zt3hn4	+389 71 888 739	41.9982652	21.4165746	4.6	Monday: 9:00 AM – 10:30 PM	Tuesday: 9:00 AM – 10:30 PM	Wednesday: 9:00 AM – 10:30 PM	Thursday: 9:00 AM – 10:30 PM	Friday: 9:00 AM – 10:30 PM	Saturday: 10:00 AM – 10:30 PM	Sunday: Closed	405	Fat Kitchen Bistro	en	restaurant	
ChIJXZKF2EcUVBMReL7W--tAzvg	+389 77 661 424	41.996352	21.4156215	4.7	Monday: 9:00 AM – 5:00 PM	Tuesday: 9:00 AM – 5:00 PM	Wednesday: 9:00 AM – 5:00 PM	Thursday: 9:00 AM – 5:00 PM	Friday: 9:00 AM – 5:00 PM	Saturday: 9:00 AM – 5:00 PM	Sunday: Closed	287	The Brunch Cafe	en	restaurant	
ChIJIWO2BjsVVBMR9wC1WBL1CAg	+389 70 382 780	41.9985127	21.415996	4.5	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 8:00 AM – 12:00 AM	Sunday: Closed	403	Долап	en	coffee_shop	
ChIJgeKlAEkUVBMRMPEY7x_rxIQ	+389 70 830 990	41.9965687	21.4188971	4.8	Monday: 8:00 AM – 8:00 PM	Tuesday: 8:00 AM – 8:00 PM	Wednesday: 8:00 AM – 8:00 PM	Thursday: 8:00 AM – 8:00 PM	Friday: 8:00 AM – 8:00 PM	Saturday: 8:00 AM – 5:00 PM	Sunday: Closed	197	L'аngolo Di Caffè	en	coffee_shop	
ChIJy_fWlPEVVBMRIcdXD055BVI	+389 78 809 801	41.9945164	21.4165547	4.7	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 10:00 AM – 6:00 PM	262	Restaurant Hedonia	mk	restaurant	
ChIJy2hDDLUVVBMRZk2MX4epEFw	+389 71 230 315	41.993301	21.430084	4.5	Monday: 9:30 AM – 12:00 AM	Tuesday: 9:30 AM – 12:00 AM	Wednesday: 9:30 AM – 12:00 AM	Thursday: 9:30 AM – 12:00 AM	Friday: 9:30 AM – 1:00 AM	Saturday: 10:30 AM – 1:00 AM	Sunday: 12:00 – 11:00 PM	2662	Amigos Mexican Restaurant & Bar	en	mexican_restaurant	PRICE_LEVEL_MODERATE
ChIJH6v687QVVBMRflc5-EYF1Gw		41.9958969	21.432352	3.5	Monday: 10:00 AM – 10:00 PM	Tuesday: 10:00 AM – 10:00 PM	Wednesday: 10:00 AM – 10:00 PM	Thursday: 10:00 AM – 10:00 PM	Friday: 10:00 AM – 10:00 PM	Saturday: 10:00 AM – 10:00 PM	Sunday: 10:00 AM – 10:00 PM	775	Burger King	en	fast_food_restaurant	PRICE_LEVEL_MODERATE
ChIJVYCuVrMVVBMRe_4vhYqF9w4	+389 2 311 3380	41.9951303	21.431652	4.4	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 10:00 AM – 12:00 AM	2060	La Terrazza Restaurant	en	italian_restaurant	PRICE_LEVEL_MODERATE
ChIJ58rKrrYVVBMRF_vkmIT-CTE	+389 2 310 1030	41.9956563	21.4334652	4	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	2150	Restaurant Dion	en	restaurant	PRICE_LEVEL_MODERATE
ChIJrV_bDLQVVBMRy-t23HtmTrk	+389 2 314 4345	41.9958191	21.4319886	4.3	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	1598	Kolektiv	en	restaurant	PRICE_LEVEL_MODERATE
ChIJZ85Q59cVVBMRce3aHaA3dLk	+389 71 507 607	41.9947759	21.4365135	4.1	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	304	Teteks 3	en	fast_food_restaurant	
ChIJ_b9eQtYVVBMRCRI1qmfxngk	+389 75 306 306	41.9950071	21.4356458	4.8	Monday: 4:00 PM – 12:00 AM	Tuesday: 4:00 PM – 12:00 AM	Wednesday: 4:00 PM – 12:00 AM	Thursday: 4:00 PM – 12:00 AM	Friday: 4:00 PM – 1:00 AM	Saturday: 4:00 PM – 1:00 AM	Sunday: Closed	323	Mixology Bar Owl	en	bar	
ChIJHU4_d8wVVBMRFGXKjKrQIt8	+389 2 277 9959	41.9940862	21.4342779	4.6	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 9:00 AM – 12:00 AM	741	Beertija Pub	en	bar	PRICE_LEVEL_MODERATE
ChIJlzhFsbYVVBMR_QvYtNVUwmw	+389 2 322 8155	41.9952028	21.4352302	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	2113	Restaurant Plaza de Toros	en	restaurant	PRICE_LEVEL_MODERATE
ChIJJSVa9bYVVBMRNzRp5Hxyc2Y	+389 2 321 4200	41.993297	21.435103	4.3	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 8:00 AM – 1:00 AM	Sunday: 8:00 AM – 12:00 AM	1159	Restaurant National	en	restaurant	PRICE_LEVEL_MODERATE
ChIJW5cCRWcVVBMRWsPxCjLOhQQ	+389 2 523 3355	41.9930269	21.4302744	4.6	Monday: 8:00 AM – 6:00 PM	Tuesday: 8:00 AM – 6:00 PM	Wednesday: 8:00 AM – 6:00 PM	Thursday: 8:00 AM – 6:00 PM	Friday: 8:00 AM – 6:00 PM	Saturday: 8:00 AM – 4:00 PM	Sunday: 9:00 AM – 4:00 PM	464	Café Joy	en	cafe	PRICE_LEVEL_MODERATE
ChIJf_LdmrYVVBMR173X4ySSDZs	+389 2 312 1109	41.9942974	21.4340831	4.3	Monday: 9:00 AM – 12:00 AM	Tuesday: 9:00 AM – 12:00 AM	Wednesday: 9:00 AM – 12:00 AM	Thursday: 9:00 AM – 12:00 AM	Friday: 9:00 AM – 12:00 AM	Saturday: 9:00 AM – 12:00 AM	Sunday: Closed	2109	Gino Italian Restaurant	en	italian_restaurant	PRICE_LEVEL_MODERATE
ChIJJ1uD-xUVVBMReJt5YF_LmYA	+389 2 312 2472	41.9956367	21.4276931	4.6	Monday: Open 24 hours	Tuesday: Open 24 hours	Wednesday: Open 24 hours	Thursday: Open 24 hours	Friday: Open 24 hours	Saturday: Open 24 hours	Sunday: Open 24 hours	537	Hotel Alexandar II	en	hotel	
ChIJc68LYusVVBMRpyttB3Bd_Ug	+389 75 430 537	41.9912728	21.4268369	4.5	Monday: 10:00 AM – 12:00 AM	Tuesday: 10:00 AM – 12:00 AM	Wednesday: 10:00 AM – 12:00 AM	Thursday: 10:00 AM – 12:00 AM	Friday: 10:00 AM – 1:00 AM	Saturday: 10:00 AM – 1:00 AM	Sunday: 10:00 AM – 12:00 AM	680	Amigos - Železnička	en	restaurant	
ChIJkT3p6B0VVBMRt9WUCgiezAM	+389 70 228 880	41.9896214	21.4295243	4.2	Monday: 8:00 AM – 1:00 AM	Tuesday: 8:00 AM – 1:00 AM	Wednesday: 8:00 AM – 1:00 AM	Thursday: 8:00 AM – 1:00 AM	Friday: 8:00 AM – 1:00 AM	Saturday: 9:00 AM – 1:00 AM	Sunday: 11:00 AM – 7:00 PM	245	Bonobo | Drink Vinyl Plate	en	restaurant	
ChIJXxWERgAVVBMRgT_7ZUq3LF4	+389 76 217 015	41.9899738	21.431307	4.1	Monday: 8:00 AM – 12:00 AM	Tuesday: 8:00 AM – 12:00 AM	Wednesday: 8:00 AM – 12:00 AM	Thursday: 8:00 AM – 12:00 AM	Friday: 8:00 AM – 12:00 AM	Saturday: 8:00 AM – 12:00 AM	Sunday: 10:00 AM – 12:00 AM	361	Forza Fusion Bar & Restaurant	en	restaurant	
ChIJ50I7_60VVBMRdFkdEx_DZ3U	+389 70 216 090	41.9951423	21.429214	3.4	Monday: 10:00 AM – 12:00 AM	Tuesday: 10:00 AM – 12:00 AM	Wednesday: 10:00 AM – 12:00 AM	Thursday: 10:00 AM – 12:00 AM	Friday: 10:00 AM – 12:00 AM	Saturday: 10:00 AM – 12:00 AM	Sunday: 10:00 AM – 11:40 PM	801	Baking Bread - Rekord	en	fast_food_restaurant	
