name,phone_number,latitude,longitude,rating,user_rating_count,type
Matto Napoletano,+389 71 343 063,41.9963473,21.4243335,4.7,3580.0,italian_restaurant
Restaurant Skopski Merak,+389 78 343 630,42.0010096,21.4199187,4.6,5283.0,restaurant
Mother Teresa Memorial House,+389 2 329 0674,41.99382,21.4308717,4.4,3683.0,other
Kosmos Kebabchilnica,+389 2 321 1908,42.0025695,21.4384212,4.3,2645.0,restaurant
Silbo,+389 71 206 205,42.0000927,21.4174075,4.5,4294.0,bakery
Destan,+389 2 322 4063,41.9997012,21.436087,3.7,3918.0,barbecue_restaurant
Restaurant „Old House“,+389 2 313 1376,41.9969072,21.4383018,4.6,3125.0,restaurant
Eski Burek Shop,,42.0005479,21.4369738,4.3,917.0,bakery
Debar Maalo,+389 70 272 766,42.003532,21.4168175,4.4,1863.0,restaurant
Gostilnica Dukat,+389 72 306 198,41.9949773,21.4129362,4.6,2972.0,restaurant
Public Room,+389 78 250 554,41.9899429,21.4259388,4.5,2537.0,restaurant
Museum of the Macedonian Struggle for Independence,+389 2 325 6668,41.9979554,21.4331383,4.5,1369.0,history_museum
CARDAK,+389 70 410 919,42.00217,21.4222741,4.4,1642.0,eastern_european_restaurant
Pelister,+389 78 411 302,41.9953782,21.4313878,4.4,3749.0,restaurant
Salvatore Italian Restaurant,+389 70 248 248,41.9837484,21.4223475,4.4,324.0,italian_restaurant
Fast Food Royal 2,+389 78 870 000,42.0033999,21.4171433,4.0,1543.0,fast_food_restaurant
Sakash?,+389 70 399 957,41.9858774,21.4504345,4.6,224.0,restaurant
Fast Food 7 - Aerodrom,+389 2 244 7774,41.9895118,21.4597428,4.5,3339.0,fast_food_restaurant
Roosty Skopje,+389 75 478 134,42.0015746,21.4035183,4.6,1881.0,restaurant
Beer Garden,+389 72 273 273,42.0010188,21.4203608,4.2,771.0,bar
The Dude Specialty Coffee,+389 70 200 021,41.9978001,21.4198865,4.9,528.0,cafe
Casa Bar Skopje,+389 72 273 333,42.0008631,21.4196145,4.3,640.0,bar
Loznica National Restaurant,+389 70 617 749,41.9953934,21.4099925,4.2,642.0,restaurant
Dva Elena,+389 2 306 0900,41.9929578,21.4078759,4.5,1496.0,restaurant
Kafana „Debar Maalo“,+389 71 279 660,42.0008454,21.4200545,4.1,747.0,restaurant
Gradska Kafeana Dvor,+389 78 430 330,41.9948053,21.4138716,4.1,994.0,restaurant
Bakery La Delicious,+389 2 311 7597,41.9983585,21.4226786,4.4,1137.0,bakery
Intermezzo Music Bar,+389 70 268 454,41.9947478,21.4140648,4.3,923.0,bar
Fast Food 7,+389 2 321 1914,41.9974682,21.4233074,4.4,1852.0,fast_food_restaurant
Urban Bistro „Kantina“,+389 70 222 137,42.0007014,21.4190979,4.5,455.0,bistro
Vodenica Mulino,+389 2 323 2877,41.9948659,21.4136129,4.6,1051.0,restaurant
Bar Roosevelt,,42.0019698,21.4134773,4.4,663.0,bar
Morino,+389 75 404 400,41.9948034,21.4100711,4.3,190.0,pizza_restaurant
