places/id	places/internationalPhoneNumber	places/location/latitude	places/location/longitude	places/rating	places/regularOpeningHours/weekdayDescriptions/0	places/regularOpeningHours/weekdayDescriptions/1	places/regularOpeningHours/weekdayDescriptions/2	places/regularOpeningHours/weekdayDescriptions/3	places/regularOpeningHours/weekdayDescriptions/4	places/regularOpeningHours/weekdayDescriptions/5	places/regularOpeningHours/weekdayDescriptions/6	places/userRatingCount	places/displayName/text	places/displayName/languageCode	places/primaryType	places/priceLevel
osm_node_382645390		41.4341811	22.0206156										Јава		cafe	
osm_node_382650535		41.4372049	22.0110153										Total		cafe	
osm_node_382650733		41.437027	22.0110601										Roma		cafe	
osm_node_386703438		41.4352466	22.0131384										Blue Cafe		cafe	
osm_node_386704854		41.4398268	22.0104295										Picaso		cafe	
osm_node_411008299		41.9948867	21.4232268										Benneton		cafe	
osm_node_411008532		41.9948604	21.4230113										AMG		cafe	
osm_node_411009859		41.9955693	21.4253358										Strip		cafe	
osm_node_411634097		41.3679722	21.2483529										Олд Скул	en	cafe	
osm_node_414619173		41.5069813	21.2168806										First		cafe	
osm_node_414619174		41.5067247	21.2163903										Кафе Бар Ш	en	cafe	
osm_node_414620827		41.5133537	21.2165604										Kardinal		cafe	
osm_node_441057694		42.0051951	21.4081572										Fresh Kantina		cafe	
osm_node_444537208		41.9173917	22.4105571										Класик	en	cafe	
osm_node_444537212		41.9176649	22.4107281										Delikates Cafe		cafe	
osm_node_459670767		41.9952588	21.4309529		Monday: 08:00-23:00	Tuesday: 08:00-23:00	Wednesday: 08:00-23:00	Thursday: 08:00-23:00	Friday: 08:00-23:00	Saturday: 08:00-23:00	Sunday: 08:00-23:00		Caffe Skopje		cafe	
osm_node_459673240		41.9934306	21.4162239										9		cafe	
osm_node_459752642		41.9984414	21.4373453										Bistro Opera Pub		cafe	
osm_node_459801246		42.0031973	21.400023										Мартини		cafe	
osm_node_459802458		42.0047028	21.4159604										Бугати	en	cafe	
osm_node_461659372		41.4389263	22.6389491										City Cafe		cafe	
